status_id;status_message;link_name;status_type;status_link;date_published;hour_published;num_reactions;num_comments;num_shares;num_likes;num_loves;num_wows;num_hahas;num_sads;num_angrys;num_special
604876072984693_801506379988327;A AGU Advocacia-Geral da União preparou um vídeo bem legal pra explicar como é o protesto. Confira:;AGU Advocacia-Geral da União;video;https://www.facebook.com/agubrasil/videos/10155210703874587/;2017-01-12;07:16:38;12;1;0;12;0;0;0;0;0;0
604876072984693_800380873434211;A caixa de Ano Novo chegou ao Cartório de Protesto de São Martinho e a Denise e a Greice já começaram a utilizar a agenda e o calendário anti-stress!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/800380873434211/?type=3;2017-01-10;07:20:31;25;1;0;24;1;0;0;0;0;0
604876072984693_799995600139405;Qualquer documento ou título de dívida que comprove a inadimplência pode ser encaminhado para protesto: nota promissória, duplicatas, cheque, confissão de dívida, conta de prestação de serviços, contratos de compra e venda, sentença judicial, termo de acordo, contrato de aluguel, cota condominial, etc. Conheça o protesto, o jeito mais eficiente de cobrar uma dívida: www.protestors.com.br.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/799995600139405/?type=3;2017-01-09;12:10:32;19;0;3;19;0;0;0;0;0;0
604876072984693_797465767059055;Proteste antes de cobrar uma dívida judicialmente! Essa é a melhor maneira de agir e evitar a longa espera de uma decisão judicial. Com o protesto mais de 65% das dívidas são recuperadas em até três dias úteis. Além disso, você ajuda a desafogar o Poder Judiciário e utiliza um meio de cobrança que respeita os direitos dos credores e devedores. Saiba mais em www.protestors.com.br.;giphy.com;link;http://giphy.com/gifs/protesto-dvida-cobrana-l3vRf8Kj31ZWGo1HO;2017-01-06;07:45:48;597;3;23;584;3;1;9;0;0;0
604876072984693_797463720392593;Os 291 Cartórios de Protesto do RS receberão em breve uma surpresa especial para começar bem o ano!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/797463720392593/?type=3;2017-01-05;07:42:42;22;0;2;19;2;1;0;0;0;0
604876072984693_793127600826205;Um novo ano repleto de avanços, conquistas, alegrias e muita paz é o nosso desejo! Para os Cartórios de Protesto do Rio Grande do Sul, 2017 é o ano!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/793127600826205/?type=3;2016-12-31;12:43:01;2;0;0;2;0;0;0;0;0;0
604876072984693_793127437492888;Aproveite o novo ano para organizar sua vida financeira. O primeiro passo é fazer um diagnóstico, que demonstrará como estão seus gastos e permitirá definir as prioridades e quais despesas precisam ser reduzidas. A criação de uma planilha detalhando as receitas e despesas é uma ótima alternativa. Mantenha as finanças em dia para garantir sua tranquilidade em 2017!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/793127437492888/?type=3;2016-12-28;08:42:01;7;0;1;7;0;0;0;0;0;0
604876072984693_792170317588600;O ano está terminando com mais uma ótima notícia! A FACCAT, faculdade do Vale do Paranhana e Região das Hortênsias, assinou convênio para protestar através da Central de Remessa de Arquivos (CRA). É a primeira instituição de ensino que utilizará o sistema no Rio Grande do Sul!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/792170317588600/?type=3;2016-12-26;08:46:00;11;0;1;11;0;0;0;0;0;0
604876072984693_790565071082458;"Natal é tempo de paz, alegria e fraternidade! Que este clima seja a inspiração para que construirmos um mundo melhor para todos. 
Feliz Natal!";Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/790565071082458/?type=3;2016-12-24;13:00:00;9;0;0;7;2;0;0;0;0;0
604876072984693_789143671224598;O Cartório de Alvorada preparou um espaço especial para a Consulta Nacional de Protesto. O totem foi colocado junto ao terminal de retirada da senha para atendimento, garantindo a visibilidade para todos que acessam ao tabelionato.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/789143671224598/?type=3;2016-12-20;06:50:15;9;0;0;7;2;0;0;0;0;0
